id,phoneme,time,duration,F0,F1,F2,F3,F4,F5
33,\ef,47.840922162425315,0.11855644881671168,111.69880628510549,433.2506123246171,1677.4068466714316,2316.691712463015,3556.645694255426,4075.7828964394635
33,\ef,47.85092216242531,0.11855644881671168,111.57902876934833,430.33579787541936,1593.6194689508231,2244.072575370987,3504.86587337916,4037.637226527947
33,\ef,47.86092216242531,0.11855644881671168,110.83945504420153,419.7915830312619,1539.8049687355933,2248.1077502139788,3475.1848592008087,4003.3287733343946
34,\ct,49.925500424263355,0.08879332359076386,120.65803477979304,486.06509564536316,963.4067621374621,2232.1865379267333,3237.569012962022,3713.833555998621
34,\ct,49.93550042426336,0.08879332359076386,118.20294537378248,495.5858896884267,985.730637252252,2239.195497160598,3236.729045540107,3741.145814516623
34,\ct,49.94550042426336,0.08879332359076386,116.48282648479025,520.6705191926206,1030.4897681300315,2248.9658685595055,3258.136625902301,3786.8229637712097
34,\ct,49.955500424263356,0.08879332359076386,115.7490151587305,535.1737578200859,1050.0347830051398,2240.245509124197,3287.660938118487,3834.9675187986627
34,\ct,49.965500424263354,0.08879332359076386,115.5777842483818,530.3353762716607,1065.216034766377,2193.541824065049,3281.4050137277272,3899.540707715094
34,\ct,49.97550042426336,0.08879332359076386,115.37203901753476,530.0548209419904,1134.3831416595544,2181.2786631491053,3278.956372317815,3885.2190482927103
34,\ct,49.98550042426336,0.08879332359076386,115.25675375957367,519.09023665844,1192.698695232863,2167.2330506518056,3257.195410504642,3805.715295443323
34,\ct,49.995500424263355,0.08879332359076386,115.24051400931681,496.58392060302447,1280.7943735563726,2171.1832955301707,3149.2726675314957,3668.427385214439
34,\ct,50.00550042426336,0.08879332359076386,115.13399989088617,476.9491463680646,1347.9395307364437,2188.77925117981,2942.769641486509,3573.563297208726
35,\at,50.20255581783431,0.051093364971222854,112.76997058494943,359.4483607586207,1912.9766359438734,2359.471766936039,3413.560502346768,4039.661043434351
35,\at,50.212555817834314,0.051093364971222854,109.89661810188409,363.68164717316074,1751.802318744201,2178.1512641219747,3322.371868968507,3709.32729034479
35,\at,50.22255581783431,0.051093364971222854,108.42984797416142,344.2290366925524,1689.177267274095,2180.5191782669053,3350.426182115801,3683.292753941378
35,\at,50.23255581783431,0.051093364971222854,107.18077977396264,306.14377309437407,1725.0669123268324,2362.6577530078994,3404.854090340414,3824.64069757194
35,\at,50.24255581783431,0.051093364971222854,105.09791195932355,340.8360906179142,1745.483454656713,2863.6286030730644,3383.1643734813224,4298.153198965937
35,\at,50.25255581783431,0.051093364971222854,103.8318197093198,310.4131168428696,1733.019810687187,3096.0559089753033,3564.7410126810637,4356.885612176019
36,u,52.19978515560834,0.058038094190607126,125.16185236268274,313.3173102795898,1082.659119351883,2280.4116724623136,3455.3722158960554,4397.059353047813
36,u,52.209785155608344,0.058038094190607126,122.40192951099743,310.6173764251572,1062.9517874035757,2224.883280603978,3420.4209745446,4418.535386469687
36,u,52.21978515560834,0.058038094190607126,121.639969712857,312.9213793091689,1105.7121105428112,2157.7887754550216,3443.8722748330133,4149.451598160396
36,u,52.22978515560834,0.058038094190607126,121.5185830711457,315.20330977370594,1186.0050798528257,2194.477293800845,3414.2728927993617,4055.1907534172124
36,u,52.23978515560834,0.058038094190607126,121.1506476025778,319.4562813986945,1250.9282645440028,2223.42621937644,3395.7180621756283,3990.9289883536676
36,u,52.24978515560834,0.058038094190607126,120.28967647620982,328.2526686208375,1307.0567547883031,2205.636391733074,3373.0199094997174,3887.6226883951126
37,\at,52.40564677175451,0.05406967749381408,116.33305308468195,341.1352130572586,1613.2441225238904,2357.1555483186894,3451.3254014994063,4531.980781393388
37,\at,52.41564677175452,0.05406967749381408,115.26920754290258,346.30319554209154,1645.4133470519514,2362.0397542904902,3516.4657478718223,4378.12583714448
37,\at,52.425646771754515,0.05406967749381408,114.13041953568276,342.6098520336018,1690.8153451364933,2346.4893592084327,3581.0660989722082,4426.274818403581
37,\at,52.43564677175451,0.05406967749381408,112.97690979194965,330.06931650327823,1707.5637068299327,2457.2685624711066,3550.8839689947313,4324.751188732126
37,\at,52.44564677175451,0.05406967749381408,111.61320757269712,309.89186755064503,1751.5057649612927,2837.9060961470545,3579.4137529637246,4361.8416824269825
