id,phoneme,time,duration,F0,F1,F2,F3,F4,F5
10,a,10.756409133991685,0.1155654020737078,111.30616430001535,640.5503262055456,1322.6614119820676,2389.0822632441377,3868.1401218376727,--undefined--
10,a,10.766409133991687,0.1155654020737078,110.86345104673711,653.4362373161988,1326.8322838227793,2383.7125996009454,3800.744049224856,--undefined--
10,a,10.776409133991686,0.1155654020737078,110.87624798354994,659.8514642744334,1334.7181749055533,2378.298457049004,3757.457801601957,--undefined--
10,a,10.786409133991686,0.1155654020737078,111.48683503401409,653.5369681606195,1347.4060293780606,2404.8355781610308,3715.3271095908217,--undefined--
10,a,10.796409133991686,0.1155654020737078,112.78268404755,644.1337766046848,1372.0097946122912,2450.7725687231155,3654.747513179819,--undefined--
10,a,10.806409133991686,0.1155654020737078,114.47684326865803,626.0594545817379,1385.5142735153745,2447.3888931812285,3687.184819616447,--undefined--
10,a,10.816409133991685,0.1155654020737078,116.08131107291017,587.6654349528187,1395.6875425465416,2480.850405322614,3619.7325460342986,--undefined--
10,a,10.826409133991685,0.1155654020737078,117.09636280852776,551.3734998096667,1396.829481007938,2462.22009203285,3651.1681575623743,--undefined--
10,a,10.836409133991685,0.1155654020737078,117.01576468459254,457.2883930778723,1365.722929846249,2406.045254416346,3558.930885037438,--undefined--
11,u,12.622871343518607,0.0804488434325279,125.64168378185643,345.1224225150829,830.0994275589959,2415.253502895529,2960.8239260582063,4222.320330136068
11,u,12.632871343518607,0.0804488434325279,124.76063496778808,343.9302558188551,836.5882695649922,2390.1100916460855,2970.3048414518066,4111.886290900401
11,u,12.642871343518607,0.0804488434325279,124.77091228873091,346.51242538389783,876.1593311434222,2383.848883331893,2986.5336521976524,4048.4481472004695
11,u,12.652871343518607,0.0804488434325279,124.62998895978079,348.74361720803074,929.071159460847,2379.9286379275513,2991.076871077098,3958.001281629319
11,u,12.662871343518608,0.0804488434325279,124.32964332070834,351.17302776792627,1040.716568500788,2429.903731266247,3040.931550741365,4025.807947285925
11,u,12.672871343518608,0.0804488434325279,123.73255754518696,349.3716654429273,1127.266189319645,2449.920504633311,3101.504384500074,4041.6270873118206
11,u,12.682871343518608,0.0804488434325279,122.64752398748797,355.975984229546,1186.4740619962406,2546.437364885384,3576.700771147694,4115.04250856893
11,u,12.692871343518608,0.0804488434325279,120.64017328835122,322.40084125149275,1352.3918264757563,2657.931243482768,3614.4315232273375,4212.408901908211
11,u,12.702871343518607,0.0804488434325279,117.63107730612656,1411.5087529907619,2625.87833986012,3581.1662112674094,4228.2916423048,--undefined--
12,\at,12.85208669901287,0.06640221997605522,122.54399622331165,478.3196710566829,1411.8519053221753,2391.0248038737354,3437.1609824902243,4024.9958698667083
12,\at,12.86208669901287,0.06640221997605522,121.50395911297872,484.81385965184353,1417.911640392884,2402.579044305477,3447.7525168120933,4021.3945032588476
12,\at,12.87208669901287,0.06640221997605522,119.49737890837586,473.9519467213937,1405.5758965807286,2396.871284567975,3445.8714269901725,4047.3573221362453
12,\at,12.88208669901287,0.06640221997605522,117.19151318695631,454.46120869661615,1396.7392447047516,2385.5123663675568,3434.5999586458925,3989.8117183778277
12,\at,12.892086699012872,0.06640221997605522,115.32376679502637,430.8910626589999,1384.7197826549768,2381.966135972483,3449.8876081942517,4022.5288047901854
12,\at,12.902086699012871,0.06640221997605522,113.17492170961259,401.75072516124163,1360.9275374627991,2369.741156229443,3422.4696429703918,4037.40161851696
12,\at,12.912086699012871,0.06640221997605522,110.10084705369641,354.47465652931106,1328.412171329094,2354.714307337949,3413.9866041428513,--undefined--
13,e,14.534594870197589,0.07470249747306212,123.01415993263826,459.0645752827586,1638.6281901538268,2412.8344371678954,3241.164552450747,3981.193338796333
13,e,14.544594870197589,0.07470249747306212,121.83351045889854,465.72742736200803,1686.5833828221282,2472.9823893714006,3292.4077904839532,3916.251341690091
13,e,14.554594870197588,0.07470249747306212,120.74460810847725,466.2612639385638,1713.1453919046592,2495.3116920107727,3325.1775679024677,3910.1834324249926
13,e,14.564594870197588,0.07470249747306212,119.91012404357099,465.4129940417271,1727.5929288102204,2509.2421688734503,3350.025975270384,3849.610874283785
13,e,14.57459487019759,0.07470249747306212,119.81864637854154,460.82121479938036,1720.594000100497,2505.5322519354245,3385.32833377209,3741.230668121838
13,e,14.58459487019759,0.07470249747306212,120.22690410690498,452.7733060659627,1685.2006917694696,2502.7372172026016,3414.814944291593,3637.5329454176367
13,e,14.59459487019759,0.07470249747306212,120.69215830460365,430.30914485115903,1650.428968831076,2467.3951177464733,3404.6592949661317,3784.8573326010883
13,e,14.60459487019759,0.07470249747306212,120.42200467669625,385.5304594864811,1580.8668211540405,2413.214106066808,3407.6941849049726,3856.7102670777535
14,\hs,14.754232982426077,0.05810194247904654,126.29614146543578,392.2351256672238,1332.1139640289214,2426.8455340618966,3285.6094443871893,4444.615508748403
14,\hs,14.764232982426076,0.05810194247904654,124.8583437845217,398.58285151574415,1320.193084596112,2429.2877949946783,3304.1006944817523,4200.520420599346
14,\hs,14.774232982426076,0.05810194247904654,122.50242851114294,390.08055543879556,1307.6371387477593,2425.444153132247,3301.4573875521905,4183.297884027501
14,\hs,14.784232982426076,0.05810194247904654,120.36036189607833,375.9543354238305,1294.768384851888,2423.9852658230648,3301.784212559052,4066.315382185507
