id,phoneme,time,duration,F0,F1,F2,F3
45,O,46.1236291121014,0.09400432620870447,109.40653755209692,529.7786295595239,996.3124640181381,2447.090920135858
46,U,46.37174734344694,0.056186493825890686,125.54717518037579,413.8279161743907,1286.336307104333,2153.0719175016347
47,u,48.162814491717995,0.09616534520201014,122.74744818013885,363.4575469009353,1024.6832684075603,2483.3669981088487
48,5,48.401056261417764,0.05996827706417208,123.03347034851024,392.44814586472523,1501.5008193801143,2353.518050199792
49,E,50.215765159091006,0.09022254297042308,110.87317855506512,597.7894903569675,1583.796341658328,2474.0218050730573
50,I,50.500606544411866,0.06158904130915487,113.8072063215203,433.4801605874667,1563.959974694448,2379.510974633381
51,e,52.36826632859096,0.08103821224888462,118.47624355242658,430.36593681841487,1881.8228421484275,2511.853192049518
52,I,52.63352083570704,0.049703436845980775,125.4243861981475,377.2461508002146,1750.0089404432192,2547.2654014337977
53,i,54.468765334986564,0.06320980555413057,121.07890499445051,273.9897986366885,2009.352419375996,2929.4491126522194
54,i,56.6378872687315,0.08914203347377025,124.90878719662621,310.47826338095814,1981.1392050935674,2756.6167057773964
55,U,56.8179298071891,0.09238356196372877,124.35644691136201,385.21067170000856,1329.5448495825403,2209.893739564096
57,E,58.750122329985416,0.09022254297042308,108.21081025070649,545.1464302165734,1584.4619674956389,2411.4073570366418
58,5,59.0457688102728,0.0696928625340334,115.60804704962858,446.96540746372284,1491.90528411689,2410.1317568805925
59,o,60.948834736534025,0.0950848357053573,109.96539856462431,448.1969330015545,970.6101585720221,2445.9003913427014
60,I,61.210847715160156,0.05888776756751924,128.03348653070782,372.729374642218,1604.8744321442318,2256.086349881119
61,a,63.12767300800792,0.10859120441350713,112.9897191322743,698.5788014752504,1419.6324037936474,2471.776729183763
62,5,63.30364777438515,0.05942802231584921,117.69382795411761,468.3767231937238,1538.389908263322,2533.872447548575
63,e,65.28625468700453,0.10048738318862148,119.95200690421076,416.15387654626363,1789.6578185095614,2519.884172946586
64,I,65.5335430801608,0.05456572958091499,125.437326449572,349.45071577295437,1556.5612563184009,2403.9036535843697
65,i,67.45037429417843,0.08373948599050607,114.15701933948759,278.9325108837638,2039.1231594160647,2791.5560519404594
66,U,67.69793810186482,0.051324201090963584,123.67478953409795,354.9963372873601,1476.757518740475,2474.6143834663812
67,a,69.6335510991208,0.1123729876517814,103.56848234676235,752.0018302859447,1440.8270771528464,2429.5460361108017
68,U,69.9213585984015,0.060508531812502035,127.89445391486416,385.6950514842663,1412.7657135912314,2360.238149412809
69,o,71.82061799820167,0.0664513340440891,114.68113037950913,457.44170761871214,1037.240872943133,2342.5509704091314
70,5,72.04361607630715,0.09022254297042308,118.11825473433663,433.79159951706094,1464.8475611271256,2331.907717447816
