id,phoneme,time,duration,F0,F1,F2,F3
48,I,50.76579062394097,0.03830897306310988,112.6763801263687,344.21026896769934,1482.8796123890804,2327.260353571093
49,E,52.64463680786169,0.09258001823584294,116.90379226318298,484.3986836133322,1542.7949527826972,2458.308275772853
50,I,52.8885459652629,0.03703200729433576,116.96535916258318,383.0204879739652,1525.2058943845127,2209.691318682569
51,5,54.97213812448718,0.050440147866424916,115.88996511696557,439.6523642440602,1430.6204514990707,2661.9595089040345
52,e,56.882179675804515,0.09002608669830181,119.00001794884872,411.68428155466546,1753.5939366612147,2449.930684492334
53,e,57.10108013763962,0.04341683613819214,125.59639650173885,376.02194506639506,1566.2400106469559,2255.654074262177
54,a,58.94944102672475,0.1366353372584186,110.31248211621279,636.7754518311045,1469.1501781821376,2299.4775281883763
55,5,59.18728894450736,0.04213987036941802,114.27279187261641,455.60904881286285,1440.5294187001468,2557.239763688694
56,a,61.03326648123595,0.10024181284846634,115.76533124028761,646.8309191975029,1335.9805243327194,2526.489923581047
57,I,61.28356046748104,0.04597076767572617,122.06138651400381,388.0722004399056,1562.8240383671837,2182.847180155528
58,a,63.20817926206409,0.09577243265777467,110.14572945663846,670.7899746977535,1407.7668942234754,2507.967308406779
59,U,63.48124290599688,0.059378908247815325,120.26194082114951,370.63880502525257,1267.9428875340907,2436.5014400467503
60,i,65.37078141533733,0.08747215516076777,120.44413509565707,294.27920733334184,2003.4370198478412,2737.2085029173545
61,U,65.62415995292926,0.03958593883187689,128.91561774386332,360.0958757107956,1415.0032408302175,2360.4427133940458
62,o,67.52296968544708,0.06640221997604101,118.36350944019172,442.02997314003426,988.2616936817611,2435.438288153099
63,I,67.7824094626576,0.049801664982041416,133.6108589732716,384.4927977737387,1555.3257090475768,2404.3953470778856
64,E,69.714213452584,0.12578112822387766,114.02693991462267,470.29855404868715,1693.1171533471716,2475.0894462484675
65,I,69.89332094500318,0.03703200729434286,118.73699229553381,343.45351722243305,1515.034000963617,2356.3196121511223
67,a,71.86266111932562,0.1289735426457952,110.37517815538887,674.8839811843213,1458.595061618852,2498.267286543254
68,5,72.11274807498665,0.029370212681712363,122.6705812465645,438.993030007555,1376.7118799661841,2480.2576022924663
69,O,74.00986446792125,0.10195836176919217,112.84284776035979,508.0168283545319,996.1242177604782,2488.348478580999
70,5,74.2639475764586,0.03665169867518614,120.35105978294425,458.44288895706325,1463.1500699159878,2132.86004207966
71,o,76.23910383433982,0.09129604942731362,112.43951419840865,450.53014322248384,803.2949824619336,2595.701164895752
72,U,76.48699034974996,0.039317276760669984,120.05803775252325,361.5078305926977,1166.0178402223373,2419.4209836819487
73,O,78.34236345979551,0.1312797207093439,111.64647058328997,520.5549399941721,1024.2469004557656,2495.0265230875225
74,I,78.50995506497965,0.03465251511110523,118.39520343207303,327.7527087897996,1389.488669967479,2376.756881630674
75,a,80.51777690094633,0.15193795087174067,110.24910420710523,626.8714225861846,1492.8229568420588,2487.924414716774
76,U,80.71301008480947,0.059975506923052535,114.28183675540193,371.17963922519704,1485.3918056956811,2445.547944960851
77,a,82.62554109272955,0.12128380288883987,114.40231385990798,667.3026217815197,1434.5640009769184,2588.485715222092
78,5,82.78112584366112,0.039983671282030286,113.18246827901629,433.97655465129714,1425.9135836691546,2511.924197836416
79,i,84.76946204318608,0.0899632603845788,110.28920768575702,271.5627714985016,1953.1561184332827,2826.0434790702852
80,U,84.97570502428,0.055977139794848085,120.60509713203764,375.099035963427,1228.3426592490925,2201.7801248976357
81,5,87.11944276734916,0.033319726068356204,121.1094620201112,428.79882264940125,1407.2476463411595,2309.1659461724375
82,O,88.9904935311136,0.08796407682046947,120.13873720511164,488.3449168839409,1035.2344706357624,2315.99888032157
83,5,89.21039555880579,0.04464843293160925,120.52693978658915,476.1852857090198,1327.967678294194,2464.625495191355
84,o,91.0769136746566,0.09462802203415777,119.38650507078111,494.1731859346088,983.1137957684496,2438.3594380539403
85,U,91.31913787772487,0.0406500658034048,124.63051002566945,382.61589633537585,1176.2161726500876,2256.8243512200424
86,a,93.23065141772575,0.09795999464097348,90.9578486130441,713.7303658037151,1387.4869613935239,2526.60083041246
87,5,93.4578797029735,0.03731809319656065,116.67990143349613,408.87034897093247,1390.9561814287993,2548.2041493808824
88,e,95.38874218982994,0.06730584665808692,111.93189341384,421.0871727677676,1782.5443608169505,2508.4841960605495
89,I,95.64663278741958,0.04531482745296955,119.86722176818482,362.1898586286106,1560.328531091785,2349.154221001697
90,e,97.58081141183546,0.06064190144442705,110.25058355322679,429.400745226974,1795.0684924758675,2583.6882736146677
91,5,97.83037411899774,0.051978772666643636,116.92495353113038,474.1544848192493,1470.2675706871053,2423.5650474758745
92,i,99.68340056059031,0.0819665261281699,116.52416307502219,251.4209336091432,2048.292876467687,2931.717393753652
93,5,99.92884453975626,0.0653066630939918,119.62662142186775,479.01864638084663,1597.4855132968569,2450.6576355603315
94,o,101.78885432986542,0.09596081107687836,121.95031997934375,451.4661837067467,892.2048375173648,2515.1769009310233
95,U,101.9741038424465,0.05930911240167803,119.4099378971553,344.0677850363949,1175.1603680015864,2479.702166753585
96,a,103.93843808633426,0.11062149054696137,109.82250662748253,648.5980900892362,1352.7370829643962,2397.805082384222
97,U,104.16966473871024,0.051978772666643636,108.32624803592563,409.7363248077561,1061.1257912249503,2461.4130274248787
98,e,106.05684875541198,0.07130421378630558,114.24171067722494,411.0283514973517,1784.056151007587,2510.372059265975
99,U,106.32140329821527,0.05131237814528333,118.95765785540306,376.49011352668464,1286.6433899590286,2406.68476435354
100,I,108.48064365197486,0.04731401101707888,122.61078702565715,386.4157458667177,1508.338448702732,2172.7032576034626
101,E,110.5101406923527,0.11728543576062124,121.5033204318757,470.7238364282978,1721.351979940265,2452.989259082401
102,I,110.68671891179704,0.03865088223929547,120.03177708910204,386.5006378768224,1568.8085596468113,2362.00341728333
103,E,112.58090619424229,0.08463210421363954,120.92575691209822,501.4753508626525,1625.3498143171425,2450.7970832562846
104,5,112.85111896720797,0.03465251511110523,127.30778512780716,464.63888237947646,1493.5523604620744,2478.2970893127667
105,a,114.79979498093344,0.10062557272645734,116.82290040622392,683.5458956738427,1351.0957964096963,2410.3646394074885
106,U,114.96071497021539,0.03665169867520035,122.71741547669988,432.0860554824083,1116.4502632986948,2297.5466467685246
107,o,116.86058040005004,0.08396570969227922,115.55132758863208,478.71015528026874,1010.9716371600593,2544.600276791671
108,I,117.12679480588751,0.037318093196574864,124.40694298369786,361.52202729935726,1580.8155830243945,2447.1453397238743
109,a,118.97500494853806,0.10662312341877113,111.38770748700168,703.6017984701494,1347.6911463803708,2498.6984146699774
110,5,119.15358643372596,0.04798040553843919,111.55088622614775,540.1881391317883,1354.6670754522652,2512.519680958635
111,o,121.07011939728328,0.06730584665808692,112.18186473448777,434.175941489036,931.8113159607707,2481.0745907201613
112,I,121.33933870173614,0.04198285484613962,120.19960232982956,347.8218835150721,1446.6373165926072,2339.585999611597
113,i,123.20085273540748,0.06663945213672663,118.3768074382895,280.8934115418201,1897.071245418352,2785.998305622105
114,I,123.43041952474927,0.035318909632465534,128.15959030395945,350.1133179999824,1564.4038013793495,2490.104996907791
115,a,125.29146670000462,0.113287068632431,110.96546879871592,654.8493092174485,1424.1395085510346,2435.5742763165313
116,I,125.56134423461988,0.051978772666643636,114.24175872945041,388.09494243425615,1515.7062235935189,2513.2338679004283
