id,phoneme,time,duration,F0,F1,F2,F3
39,U,40.6147701182338,0.047207529450759005,142.87381953229442,332.2525065517408,1483.310334948578,2513.7081376834362
40,o,42.4382098092526,0.09656085569473302,123.2282748664644,566.1116579377627,842.077256626481,2337.475829720983
41,I,42.67197085760289,0.026822459915202004,155.15511117164831,297.2639762875494,1881.8286392395803,2756.922617739697
42,E,44.5274277925068,0.13733099476584698,132.98375073039372,505.96746612762735,1929.5727652962848,2712.194862872026
43,I,44.70166355739791,0.035942096286377,142.0127933285795,322.95016426092775,1974.5000807264023,2744.9809609603426
44,E,46.6105934549169,0.13947679155906198,131.1301216150502,535.5499049341737,1932.3482160796505,2580.989031644377
45,5,48.520119874278386,0.11426367923876797,147.45593347503234,579.2416604231978,1159.5883550108967,2481.2159160276274
46,5,48.688970569634,0.04881687704567401,139.841857240824,437.3290675063878,1612.3327291874616,2534.383246838818
47,e,50.6720795869796,0.116409476031983,134.52816294209066,414.71819353656343,2099.042741985418,2666.023440526209
48,5,50.840393833136794,0.042915935864329,130.4856925885378,401.1256045061608,1745.890543848226,2535.81864456762
49,e,52.7472630824636,0.138940342360762,144.77811597820946,405.23247061288527,1997.888597915491,2622.9086842292877
50,U,52.970274569295306,0.09870665248794804,131.7746970120458,292.75799272068053,1593.90060246289,2777.36711714368
51,E,54.71940492756601,0.14966932632683697,131.82780206746204,542.8615133890099,1916.3734176680296,2449.9572843375086
52,I,54.947822061485816,0.042915935864329,130.529980910185,298.48945731194283,1888.0422723519398,2714.4930290937255
53,a,56.613910769374996,0.125529112403157,132.16869478324287,708.6967751106337,1465.8463184971308,2223.5774763436707
54,U,56.89202514396929,0.041306588269414,130.1719557409054,323.897053987741,1667.8527829895781,2585.554469425264
55,o,58.7054008531284,0.095487957298126,140.8490887429121,561.5614257799195,889.1856698794129,2435.0254625234256
56,I,58.953817987048204,0.03165050269994,133.36471764994576,280.6290153405085,1775.9355672475576,2832.7880673342825
57,E,60.852961586076304,0.10192534767777105,147.00026188433463,551.5648722959932,1895.7513687411367,2689.648888160673
58,I,61.0874603174603,0.048787600425562995,128.3800996325534,288.15472973591307,1766.0867554953281,2787.55986918692
59,i,63.01492070958861,0.086368320926958,179.87224311710855,330.3321960844379,2178.4892306602096,2885.344677624312
60,a,65.0079200915653,0.114263679238761,137.30225221187226,793.4027068488714,1482.9184259638623,2437.9443736360104
61,5,65.21915027358689,0.044525283459237,139.7715631938738,446.81134803703947,1682.183361977614,2820.08777764357
62,o,67.0322466393638,0.095487957298133,157.27209922612093,445.66038742045055,790.3104788550344,2595.5453727216836
63,U,67.2350655914278,0.034332748691455,140.9658911958205,323.09838241911075,1572.4653107244426,2370.2323022000173
64,O,68.9990468192379,0.14269548674889204,129.18754885560213,646.248433845688,1043.8656970321779,2620.742362960881
65,I,69.1933031616815,0.054717818227018995,134.41461544600315,280.79425757108237,1751.454552622755,2628.25109624437
66,i,71.0130728569131,0.09065991451338098,151.6031081104084,295.81990809009756,2217.5526175698164,2747.925347054867
67,U,71.25415165927191,0.045598181855851,139.3519484787078,281.5902823947222,1737.7593674679779,2293.30501246232
